ID;Date;Amount;SumS
35575;10.02.2025;17;13 957
35575;02.02.2025;15;12 030
36298;14.02.2025;10;970
40050;03.02.2025;11;2 194
39231;09.02.2025;3;1 123
39183;28.02.2025;3;1 018
17353;14.02.2025;7;1 601
37993;27.02.2025;48;7 967
38919;21.02.2025;10;3 270
13449;10.02.2025;35;4 539
40496;21.02.2025;1;403
40217;27.02.2025;31;6 344
39029;09.02.2025;3;875
24609;02.02.2025;3;1 469
13450;22.02.2025;1;130
35575;03.02.2025;10;7 230
37886;28.02.2025;11;3 542
33886;10.02.2025;25;2 399
38783;17.02.2025;1;430
37993;21.02.2025;1;164
35440;21.02.2025;1;140
35575;27.02.2025;11;7 359
37478;21.02.2025;1;250
39527;22.02.2025;3;1 199
40049;28.02.2025;28;6 196
22223;17.02.2025;18;2 961
37934;09.02.2025;3;1 051
17353;03.02.2025;6;1 067
40049;17.02.2025;14;2 793
37930;17.02.2025;1;274
34621;28.02.2025;11;1 561
30737;16.02.2025;1;400
39233;02.02.2025;6;2 247
35515;16.02.2025;1;515
37733;20.02.2025;22;2 215
40051;21.02.2025;14;2 578
17356;28.02.2025;42;7 454
38919;10.02.2025;3;1 049
36333;15.02.2025;1;381
34621;02.02.2025;14;1 953
35433;02.02.2025;14;1 981
39233;28.02.2025;1;375
37733;03.02.2025;32;3 141
39607;13.02.2025;21;4 479
39826;14.02.2025;3;1 647
39527;10.02.2025;4;1 770
35466;15.02.2025;3;752
39034;15.02.2025;14;5 267
39176;28.02.2025;7;1 278
32822;03.02.2025;3;335
39248;03.02.2025;11;3 019
40052;13.02.2025;101;20 270
39713;14.02.2025;22;2 739
37735;16.02.2025;17;2 228
35575;04.05.2025;14;11 046
17357;03.02.2025;3;554
38209;02.02.2025;14;2 443
40339;14.02.2025;4;728
39066;20.02.2025;8;2 797
39695;10.02.2025;4;1 848
39607;27.02.2025;27;6 015
36782;09.02.2025;6;3 576
38234;13.02.2025;25;10 613
38785;16.02.2025;1;400
35308;15.02.2025;1;381
39512;21.02.2025;3;700
40052;10.02.2025;11;2 401
32214;21.02.2025;3;974
35216;28.02.2025;1;524
17355;16.02.2025;7;1 091
37272;14.02.2025;1;425
38814;02.02.2025;3;1 089
35309;15.02.2025;4;1 076
38267;03.02.2025;17;1 691
39703;15.02.2025;4;558
11941;09.02.2025;55;27 711
40050;09.02.2025;1;200
35575;21.02.2025;56;33 432
22217;20.02.2025;31;5 121
35433;28.02.2025;4;1 128
39527;13.02.2025;7;2 796
13449;16.02.2025;66;8 547
37125;21.02.2025;28;2 786
37472;28.02.2025;3;626
38266;27.02.2025;10;1 135
39296;21.02.2025;27;10 277
39717;09.02.2025;46;5 880
37930;14.02.2025;3;1 394
13450;28.02.2025;14;2 304
3841;15.02.2025;7;879
5884;17.02.2025;20;6 089
39694;13.02.2025;4;1 998
39032;22.02.2025;11;4 120
37042;14.02.2025;4;308
36297;27.02.2025;27;2 801
38816;15.02.2025;10;3 074
30902;21.02.2025;18;7 191
39026;09.02.2025;13;7 534
33889;10.02.2025;90;9 488
37966;09.02.2025;3;1 401
39232;16.02.2025;6;2 145
38234;16.02.2025;1;425
8673;22.02.2025;1;130
4295;20.02.2025;6;2 674
39348;03.02.2025;8;1 535
40049;14.02.2025;10;2 390
40220;16.02.2025;1;200
22220;27.02.2025;31;5 103
39174;13.02.2025;78;13 610
27867;15.02.2025;3;1 199
39230;27.02.2025;7;2 522
3613;02.02.2025;6;862
21995;20.02.2025;25;3 513
30734;21.02.2025;43;13 658
27861;03.02.2025;13;5 107
39061;09.02.2025;11;30 719
34621;22.02.2025;21;2 930
34620;13.02.2025;8;1 262
1805;13.02.2025;63;30 957
39030;27.02.2025;10;4 376
40220;13.02.2025;7;1 396
33419;13.02.2025;15;1 843
39231;15.02.2025;281;95 843
17353;20.02.2025;10;1 790
37476;28.02.2025;1;315
37884;09.02.2025;4;1 222
37991;09.02.2025;3;955
37993;10.02.2025;7;1 159
